Year,Month,GMSL
1999,10,20.3
1999,11,16.2
1999,12,14
2000,1,12.8
2000,2,15.5
2000,3,19.4
2000,4,22.2
2000,5,26.2
2000,6,25.9
2000,7,27.1
2000,8,22.4
2000,9,20
2000,10,16.7
2000,11,17.8
2000,12,19.8
2001,1,23.8
2001,2,24.2
2001,3,27
2001,4,24.8
2001,5,25.3
2001,6,25.7
2001,7,27.1
2001,8,29.8
2001,9,29.9
2001,10,27.6
2001,11,24.5
2001,12,22.1
2002,1,23.1
2002,2,24.3
2002,3,25.9
2002,4,24.9
2002,5,26.5
2002,6,29.2
2002,7,29.4
2002,8,28.5
2002,9,30
2002,10,31.4
2002,11,34.2
2002,12,32.9
2003,1,31.8
2003,2,30.2
2003,3,29.3
2003,4,33.5
2003,5,35.9
2003,6,40
2003,7,40
2003,8,42.4
2003,9,43.6
2003,10,44.3
2003,11,41
2003,12,39.3
2004,1,36.3
2004,2,33.4
2004,3,33.9
2004,4,34.9
2004,5,39.2
2004,6,41.5
2004,7,40.4
2004,8,41.6
2004,9,38.6
2004,10,37.3
2004,11,34.5
2004,12,34.6
2005,1,36.6
2005,2,37.2
2005,3,36.2
2005,4,36.4
2005,5,37.9
2005,6,40
2005,7,40.7
2005,8,39.7
2005,9,36.6
2005,10,36
2005,11,34.7
2005,12,35.5
2006,1,35.2
2006,2,37.8
2006,3,43
2006,4,44.7
2006,5,43.4
2006,6,40.8
2006,7,40.3
2006,8,42.2
2006,9,43.5
2006,10,44.6
2006,11,44.2
2006,12,39.1
2007,1,35.6
2007,2,31.4
2007,3,34.3
2007,4,38.3
2007,5,45.5
2007,6,49.1
2007,7,50.5
2007,8,50.5
2007,9,47.9
2007,10,46.5
2007,11,46.8
2007,12,45.4
2008,1,46.5
2008,2,46.1
2008,3,52.5
2008,4,56.3
2008,5,60.1
2008,6,60.1
2008,7,59.3
2008,8,55
2008,9,50.9
2008,10,46.8
2008,11,46.8
2008,12,46
2009,1,47.5
2009,2,46.8
2009,3,49
2009,4,50.2
2009,5,55.6
2009,6,59.6
2009,7,62.7
2009,8,62.9
2009,9,63.6
2009,10,63.9
2009,11,65.6
2009,12,68.8
2010,1,67.6
2010,2,67.6
2010,3,63.2
2010,4,65
2010,5,61.7
2010,6,61.8
2010,7,61
2010,8,63.3
2010,9,65.2
2010,10,68.7
2010,11,71.1
2010,12,72.8
2011,1,70.4
2011,2,68.5
2011,3,67.2
2011,4,70.6
2011,5,72.6
2011,6,73.2
2011,7,72.1
2011,8,69.3
2011,9,67
2011,10,62.6
2011,11,58.7
2011,12,55.4
2012,1,58.5
2012,2,63.8
2012,3,72.5
2012,4,80.4
2012,5,82
2012,6,82.4
2012,7,78.1
2012,8,78.8
2012,9,78.6
2012,10,80.8
2012,11,79.4
2012,12,77.7
2013,1,70.5
2013,2,65.7
2013,3,67
2013,4,69.8
2013,5,72
2013,6,71.5
2013,7,71.2
2013,8,71.6
2013,9,68.8
2013,10,66.4
2013,11,59.7
2013,12,58.5
