Year,Month,GMSL
1903,11,-124.2
1903,12,-121.5
1904,1,-125.9
1904,2,-118.2
1904,3,-122.9
1904,4,-123.3
1904,5,-128.3
1904,6,-126.6
1904,7,-130.2
1904,8,-131.2
1904,9,-132.6
1904,10,-131.6
1904,11,-132.3
1904,12,-134.8
1905,1,-138
1905,2,-140.1
1905,3,-139.6
1905,4,-138.1
1905,5,-136
1905,6,-134.4
1905,7,-132
1905,8,-128.1
1905,9,-125.4
1905,10,-127.6
1905,11,-130.7
1905,12,-134.8
1906,1,-131.8
1906,2,-129.5
1906,3,-128.1
1906,4,-128.9
1906,5,-125.5
1906,6,-124.1
1906,7,-122.3
1906,8,-125.4
1906,9,-124.9
1906,10,-125.7
1906,11,-127.6
1906,12,-128.8
1907,1,-129.5
1907,2,-126.4
1907,3,-125.2
1907,4,-122.8
1907,5,-125.1
1907,6,-123.2
1907,7,-126.4
1907,8,-123.8
1907,9,-131.7
1907,10,-133.1
1907,11,-137.6
1907,12,-134.5
1908,1,-131.1
1908,2,-129.1
1908,3,-129.2
1908,4,-131.4
1908,5,-132.5
1908,6,-127.9
1908,7,-127.3
1908,8,-124.9
1908,9,-130.1
1908,10,-134.3
1908,11,-136.3
1908,12,-135.4
1909,1,-127.7
1909,2,-125.1
1909,3,-120.6
1909,4,-123.4
1909,5,-126.2
1909,6,-130.8
1909,7,-129
1909,8,-129.8
1909,9,-126.3
1909,10,-126.4
1909,11,-124.5
1909,12,-125.9
1910,1,-127.3
1910,2,-130.6
1910,3,-129.9
1910,4,-129.5
1910,5,-124.7
1910,6,-124
1910,7,-121.8
1910,8,-124.4
1910,9,-124.4
1910,10,-126.4
1910,11,-126.6
1910,12,-127.4
1911,1,-127.4
1911,2,-123.9
1911,3,-121.1
1911,4,-120.6
1911,5,-121.8
1911,6,-121.2
1911,7,-120.1
1911,8,-114.1
1911,9,-111.2
1911,10,-108.1
1911,11,-112.7
1911,12,-114.5
1912,1,-121.9
1912,2,-123.7
1912,3,-127.2
1912,4,-127.1
1912,5,-126
1912,6,-120.7
1912,7,-119.9
